BusiDate,DayClose,Ranging,futuresQuan
24/1/2020,"27,949.64","29,900-29,999",202.37
,,"29,800-29,899",30.55
,,"29,700-29,799",225.35
,,"29,600-29,699",598.16
,,"29,500-29,599",402.3
,,"29,400-29,499",402.3
,,"29,300-29,399",478.28
,,"29,200-29,299",612.87
,,"29,100-29,199",207.99
,,"29,000-29,099",361.53
,,"28,900-28,999",158.17
,,"28,800-28,899",848.49
,,"28,700-28,799",307.27
,,"28,600-28,699","1,635.80"
,,"27,700-27,799",115
,,"27,600-27,699",452.77
,,"27,500-27,599",560.87
,,"27,400-27,499",275.5
,,"27,300-27,399",297.78
,,"27,200-27,299",99.19
,,"27,100-27,199",129.2
,,"27,000-27,099",510.54
,,"26,900-26,999",232.7
,,"26,800-26,899",526.02
,,"26,700-26,799",112.72
,,"26,600-26,699",105.58
,,"26,500-26,599",95.52
,,"26,400-26,499",263.1
BusiDate,DayClose,Ranging,futuresQuan
2020-01-24,"27,949.64","29,900-29,999",202.37
,,"29,800-29,899",30.55
,,"29,700-29,799",225.35
,,"29,600-29,699",598.16
,,"29,500-29,599",402.30
,,"29,400-29,499",402.30
,,"29,300-29,399",478.28
,,"29,200-29,299",612.87
,,"29,100-29,199",207.99
,,"29,000-29,099",361.53
,,"28,900-28,999",158.17
,,"28,800-28,899",848.49
,,"28,700-28,799",307.27
,,"28,600-28,699","1,635.80"
,,"27,700-27,799",115.00
,,"27,600-27,699",452.77
,,"27,500-27,599",560.87
,,"27,400-27,499",275.50
,,"27,300-27,399",297.78
,,"27,200-27,299",99.19
,,"27,100-27,199",129.20
,,"27,000-27,099",510.54
,,"26,900-26,999",232.70
,,"26,800-26,899",526.02
,,"26,700-26,799",112.72
,,"26,600-26,699",105.58
,,"26,500-26,599",95.52
,,"26,400-26,499",263.10
